hour,mean,median,std
0,52.78588807785888,51.66666666666666,16.537624819890542
1,51.32603406326034,51.66666666666666,12.452751694315161
2,49.07542579075425,50.0,7.387278490616472
3,48.236009732360095,48.333333333333336,7.751150092182357
4,49.35523114355231,50.0,7.106358698625671
5,52.737226277372265,50.0,16.441788316184056
6,57.71289537712895,51.66666666666666,33.86946738655058
7,78.64963503649635,56.66666666666666,56.3321052361766
8,106.14355231143551,73.33333333333333,80.1950114541104
9,112.78588807785887,78.33333333333333,81.66419301201951
10,125.3771289537713,78.33333333333333,108.73887004512207
11,133.1265206812652,81.66666666666667,112.32347175095543
12,123.63746958637469,88.33333333333333,93.7981290354098
13,124.74452554744525,81.66666666666667,96.3211986282657
14,108.28467153284672,80.0,82.06583659590785
15,105.82725060827251,76.66666666666667,85.52632226960128
16,119.90267639902677,86.66666666666667,96.1704994698188
17,161.35265700483092,119.16666666666666,109.76963837375015
18,191.81159420289856,165.0,105.94599120278777
19,143.06569343065692,123.33333333333331,70.94375291367959
20,126.98296836982969,108.33333333333331,67.64887143057065
21,96.4963503649635,86.66666666666667,47.33255862367119
22,69.14841849148418,61.66666666666666,32.83892954468173
23,56.98296836982968,55.0,25.844030712660384
