date,Actual,Chronos_Bolt_Tiny
2016-05-13 19:00:00,208.33333333333331,170.49304
2016-05-13 20:00:00,120.0,126.83506
2016-05-13 21:00:00,63.333333333333336,91.066055
2016-05-13 22:00:00,55.0,69.84779
2016-05-13 23:00:00,61.66666666666666,62.57378
2016-05-14 00:00:00,58.333333333333336,60.060005
2016-05-14 01:00:00,63.333333333333336,57.358818
2016-05-14 02:00:00,60.0,55.540096
2016-05-14 03:00:00,60.0,52.48675
2016-05-14 04:00:00,60.0,51.655
2016-05-14 05:00:00,56.66666666666666,55.4335
2016-05-14 06:00:00,63.333333333333336,67.723045
2016-05-14 07:00:00,113.33333333333331,93.095634
2016-05-14 08:00:00,133.33333333333334,136.14085
2016-05-14 09:00:00,118.33333333333331,168.6918
2016-05-14 10:00:00,158.33333333333334,198.63634
2016-05-14 11:00:00,96.66666666666669,210.39804
2016-05-14 12:00:00,116.66666666666669,192.11552
2016-05-14 13:00:00,113.33333333333331,181.04474
2016-05-14 14:00:00,106.66666666666669,160.48718
2016-05-14 15:00:00,130.0,157.2664
2016-05-14 16:00:00,111.66666666666669,182.7413
2016-05-14 17:00:00,241.66666666666663,182.62845
2016-05-14 18:00:00,166.66666666666666,154.38335
