date,Actual,Feature_Model
2016-05-13 19:00:00,208.33333333333331,135.52795068357574
2016-05-13 20:00:00,120.0,163.91337586413582
2016-05-13 21:00:00,63.333333333333336,88.85190894834975
2016-05-13 22:00:00,55.0,55.18269530062611
2016-05-13 23:00:00,61.66666666666666,52.54033235129196
2016-05-14 00:00:00,58.333333333333336,55.26108843736722
2016-05-14 01:00:00,63.333333333333336,51.46226363473178
2016-05-14 02:00:00,60.0,56.40882298301163
2016-05-14 03:00:00,60.0,55.82340065645018
2016-05-14 04:00:00,60.0,62.827265926613414
2016-05-14 05:00:00,56.66666666666666,64.08627071636091
2016-05-14 06:00:00,63.333333333333336,72.05069117627022
2016-05-14 07:00:00,113.33333333333331,121.6673652241896
2016-05-14 08:00:00,133.33333333333334,138.2651035704482
2016-05-14 09:00:00,118.33333333333331,143.6701479998407
2016-05-14 10:00:00,158.33333333333334,154.40473052882479
2016-05-14 11:00:00,96.66666666666669,163.73954109468716
2016-05-14 12:00:00,116.66666666666669,131.86584242256563
2016-05-14 13:00:00,113.33333333333331,133.5019170557194
2016-05-14 14:00:00,106.66666666666669,120.36090089612061
2016-05-14 15:00:00,130.0,112.69865264741519
2016-05-14 16:00:00,111.66666666666669,120.0684894428109
2016-05-14 17:00:00,241.66666666666663,160.14165901430755
2016-05-14 18:00:00,166.66666666666666,172.20096330977137
2016-05-14 19:00:00,90.0,134.49603781120942
2016-05-14 20:00:00,86.66666666666667,84.42269147033294
2016-05-14 21:00:00,75.0,65.10781898716547
2016-05-14 22:00:00,61.66666666666666,59.58652898654513
2016-05-14 23:00:00,48.333333333333336,56.11111486315408
2016-05-15 00:00:00,53.333333333333336,51.880918573635206
2016-05-15 01:00:00,55.0,51.45979336508446
2016-05-15 02:00:00,51.66666666666666,51.53758309850108
2016-05-15 03:00:00,40.0,51.28930530800617
2016-05-15 04:00:00,51.66666666666666,48.57479372489766
2016-05-15 05:00:00,56.66666666666666,51.967239444020095
2016-05-15 06:00:00,51.66666666666666,52.0621280452099
2016-05-15 07:00:00,93.33333333333331,66.37179052701852
2016-05-15 08:00:00,118.33333333333331,167.50303150544735
2016-05-15 09:00:00,101.66666666666669,141.09057901468094
2016-05-15 10:00:00,108.33333333333331,121.58226226095236
2016-05-15 11:00:00,105.0,114.26574254357094
2016-05-15 12:00:00,96.66666666666669,106.61398917206363
2016-05-15 13:00:00,136.66666666666666,89.83949943494517
2016-05-15 14:00:00,88.33333333333333,100.30277052533667
2016-05-15 15:00:00,93.33333333333331,93.32029773272347
2016-05-15 16:00:00,143.33333333333334,102.23938348822135
2016-05-15 17:00:00,236.66666666666663,165.40783741333397
2016-05-15 18:00:00,98.33333333333331,194.56094546781145
2016-05-15 19:00:00,96.66666666666669,106.9356006984182
2016-05-15 20:00:00,246.66666666666663,94.81937547980546
2016-05-15 21:00:00,203.33333333333331,128.73140916218836
2016-05-15 22:00:00,86.66666666666667,78.84057588698742
2016-05-15 23:00:00,83.33333333333333,63.96416341955581
2016-05-16 00:00:00,61.66666666666666,61.81037749461953
2016-05-16 01:00:00,53.333333333333336,56.07147934044834
2016-05-16 02:00:00,56.66666666666666,49.74599570156957
2016-05-16 03:00:00,53.333333333333336,48.99705030985386
