date,Actual,SARIMAX,Lower_95,Upper_95
2016-05-13 19:00:00,208.33333333333331,191.28608139106527,58.23034697189007,324.34181581024046
2016-05-13 20:00:00,120.0,149.68622465745887,7.7328745741776,291.63957474074016
2016-05-13 21:00:00,63.333333333333336,90.79234520116353,-57.093337327860155,238.6780277301872
2016-05-13 22:00:00,55.0,51.33424490454735,-98.87536558300201,201.5438553920967
2016-05-13 23:00:00,61.66666666666666,50.36448134247175,-100.99503068031905,201.72399336526254
2016-05-14 00:00:00,58.333333333333336,35.45334211516271,-116.94164212314803,187.84832635347345
2016-05-14 01:00:00,63.333333333333336,36.78411654877294,-115.61107896808113,189.17931206562702
2016-05-14 02:00:00,60.0,37.18579011058742,-115.20961539284775,189.5811956140226
2016-05-14 03:00:00,60.0,39.98562674503276,-112.40998746303654,192.38124095310206
2016-05-14 04:00:00,60.0,50.035459229468614,-102.36036240516137,202.4312808640986
2016-05-14 05:00:00,56.66666666666666,62.5547628433859,-89.84126494862952,214.95079063540132
2016-05-14 06:00:00,63.333333333333336,79.80566051125487,-72.5905721801629,232.20189320267264
2016-05-14 07:00:00,113.33333333333331,115.41862569175055,-36.97781064705873,267.81506203055983
2016-05-14 08:00:00,133.33333333333334,138.45497826440598,-13.941660476057194,290.8516170048691
2016-05-14 09:00:00,118.33333333333331,105.94029838821564,-46.45654151621966,258.33713829265093
2016-05-14 10:00:00,158.33333333333334,105.44219054971009,-46.95484928813406,257.83923038755427
2016-05-14 11:00:00,96.66666666666669,123.50282562098332,-28.894412927268405,275.90006416923507
2016-05-14 12:00:00,116.66666666666669,114.50445141865345,-37.8929846286039,266.9018874659108
2016-05-14 13:00:00,113.33333333333331,99.70308639906361,-52.69454593253758,252.1007187306648
2016-05-14 14:00:00,106.66666666666669,104.57927993843182,-47.81854749240435,256.97710736926797
2016-05-14 15:00:00,130.0,94.23810144748532,-58.15991987429817,246.6361227692688
2016-05-14 16:00:00,111.66666666666669,131.09598211442886,-21.30223195683064,283.49419618568834
2016-05-14 17:00:00,241.66666666666663,179.91554286965803,27.51713723539757,332.3139485039185
2016-05-14 18:00:00,166.66666666666666,170.96382058086184,18.565224617483608,323.3624165442401
